Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Voss,Bollinger,Linear Regression Curve
2022-01-01 00:00:00,46216.93,46731.39,46208.37,46656.13,1503.33095,1640998799999,69879986.3904993,38608,806.06536,37462156.917644,0.0,0.0,0.0
2022-01-01 01:00:00,46656.14,46949.99,46574.06,46778.14,943.81539,1641002399999,44127148.1176022,31872,491.18067,22963272.8553742,0.0,0.0,0.0
2022-01-01 02:00:00,46778.14,46928.94,46721.96,46811.77,485.1686,1641005999999,22720670.4192001,24364,206.35113,9662607.0658957,0.0,0.0,0.0
2022-01-01 03:00:00,46811.77,46916.63,46760.12,46813.2,562.88971,1641009599999,26363260.4633629,19882,248.28212,11629376.3969603,0.0,0.0,0.0
2022-01-01 04:00:00,46813.21,46887.33,46591.23,46711.05,861.88389,1641013199999,40272043.7383876,23357,397.53563,18575402.2591101,0.0,0.0,0.0
2022-01-01 05:00:00,46711.05,47555.55,46673.94,47192.55,1400.73642,1641016799999,66188305.956227,41431,776.78632,36695321.6892667,0.0,0.0,0.0
2022-01-01 06:00:00,47192.56,47324.42,46940.0,46979.62,613.97776,1641020399999,28941491.5656397,25196,299.44097,14116069.3835397,0.0,0.0,0.0
2022-01-01 07:00:00,46979.61,47255.85,46864.84,47194.73,646.20081,1641023999999,30399865.6325987,25166,290.68371,13676285.5882507,0.0,0.0,0.0
2022-01-01 08:00:00,47194.73,47344.69,47075.11,47124.82,532.44767,1641027599999,25132258.9178944,24412,277.09449,13080038.8468275,0.0,0.0,0.0
2022-01-01 09:00:00,47124.82,47215.56,46933.58,47143.98,541.32491,1641031199999,25480514.3843935,25365,254.64431,11986961.5242905,0.0,0.0,0.0
2022-01-01 10:00:00,47143.98,47298.75,46715.39,46871.08,923.0176,1641034799999,43322629.2277111,32540,448.37765,21043573.6607499,0.0,0.0,0.0
2022-01-01 11:00:00,46871.09,47007.73,46756.77,46758.87,732.88793,1641038399999,34373032.6824355,27081,331.45687,15546269.3269553,0.0,0.0,0.0
2022-01-01 12:00:00,46758.87,47150.48,46756.3,47074.05,582.15009,1641041999999,27355387.028293,25608,305.54991,14358610.1021682,0.0,0.0,0.0
2022-01-01 13:00:00,47074.05,47199.67,46935.09,47023.24,454.14412,1641045599999,21373423.4608165,23077,216.57778,10194176.5610146,0.0,0.0,0.0
2022-01-01 14:00:00,47023.24,47100.0,46850.18,46926.22,503.6622,1641049199999,23656850.5083971,23020,201.28873,9453983.6681608,0.0,0.0,0.0
2022-01-01 15:00:00,46920.01,47491.14,46871.69,47219.04,1515.95305,1641052799999,71605243.7145931,37411,827.63725,39088771.9355186,0.0,0.0,0.0
2022-01-01 16:00:00,47219.04,47527.24,47186.07,47268.62,1049.57919,1641056399999,49727146.241104,36116,499.3152,23655863.8397311,0.0,0.0,0.0
2022-01-01 17:00:00,47268.61,47954.63,47238.81,47754.48,1320.66577,1641059999999,62917380.6519855,50007,665.48923,31698926.8424552,0.0,0.0,0.0
2022-01-01 18:00:00,47754.47,47844.97,47420.0,47560.55,860.76025,1641063599999,40986790.5852016,33471,439.80569,20940504.6674265,0.0,0.0,0.0
2022-01-01 19:00:00,47560.54,47611.84,47292.72,47329.78,830.6716,1641067199999,39371494.0751019,34902,446.07002,21139553.6046972,0.0,0.0,0.0
2022-01-01 20:00:00,47329.79,47559.03,47250.18,47391.82,717.20792,1641070799999,33997955.140303,26745,418.61643,19840986.4946391,0.0,0.0,0.0
2022-01-01 21:00:00,47391.82,47573.05,47268.79,47319.67,809.21927,1641074399999,38367198.6185877,26162,468.13641,22196355.2227278,-1.9110287685862948,0.0,0.0
2022-01-01 22:00:00,47319.66,47490.98,47222.22,47440.74,466.47861,1641077999999,22096653.53843,26369,229.44448,10868452.0160555,8.042696736097241,0.0,0.0
2022-01-01 23:00:00,47440.74,47814.0,47277.77,47722.65,746.28954,1641081599999,35498428.5247211,32737,396.53643,18865191.3206473,81.30780631314511,0.0,0.0
2022-01-02 00:00:00,47722.66,47750.0,47381.12,47625.3,1082.50817,1641085199999,51510548.660154,32921,544.81807,25926023.5872313,86.08715872410164,0.0,0.0
2022-01-02 01:00:00,47625.29,47641.83,47315.38,47377.97,465.7536,1641088799999,22096206.48265,24393,232.39924,11024506.7934098,-14.491122545617358,0.6050754593412493,47579.072092307695
2022-01-02 02:00:00,47377.97,47449.56,47275.5,47370.5,452.39245,1641092399999,21431205.7744405,25513,215.80473,10223953.1707854,-71.31972203465466,0.5928764377723882,47574.46781538462
2022-01-02 03:00:00,47370.49,47467.11,47269.47,47329.47,387.25302,1641095999999,18338323.3243754,18986,183.63779,8697281.4324256,-75.95899233266846,0.5610670823441535,47571.83495384615
2022-01-02 04:00:00,47329.47,47415.73,46770.23,46910.3,1259.6882,1641099599999,59314365.8658618,36223,585.93599,27590671.9754769,-153.73952687559344,0.3165528290011927,47560.23849230769
2022-01-02 05:00:00,46910.3,47089.63,46832.08,47081.28,686.20377,1641103199999,32222910.711241,24054,356.83931,16758172.439759,-153.9738773148628,0.4059358459103793,47480.77972307692
2022-01-02 06:00:00,47081.28,47244.0,47011.24,47122.61,528.20197,1641106799999,24892334.120441,19779,299.01836,14091987.1314646,-54.4414805100536,0.4271813800159461,47418.03116923077
2022-01-02 07:00:00,47122.6,47300.0,47087.62,47173.45,544.37433,1641110399999,25684083.1452843,20702,262.37642,12379787.6695086,6.087397911859739,0.4547994829581587,47396.6164
